015.5 120 72.2 55 12 60 27 181756,A,3855.4487,N,09446.0071,W,0.0,076.2,130495,003.8,E*69
015.5 120 72.2 55 29 04 14 181757,A,3855.4487,N,09446.0071,W,0.0,076.2,130495,003.8,E*69
015.5 120 72.2 55 29 05 31 181758,A,3855.4487,N,09446.0071,W,0.0,076.2,130495,003.8,E*69
015.5 120 72.2 55 47 24 00 181759,A,3855.4487,N,09446.0071,W,0.0,076.2,130495,003.8,E*69
015.5 120 72.2 55 47 60 59 181800,A,3855.4487,N,09446.0071,W,0.0,076.2,130495,003.8,E*69
015.5 120 72.2 55 04 37 54 181801,A,3855.4487,N,09446.0071,W,0.0,076.2,130495,003.8,E*69
015.5 120 72.2 55 27 15 59 181802,A,3855.4487,N,09446.0071,W,0.0,076.2,130495,003.8,E*69
015.5 120 72.2 55 08 58 53 181803,A,3855.4487,N,09446.0071,W,0.0,076.2,130495,003.8,E*69
015.5 120 72.2 55 17 19 01 181804,A,3855.4487,N,09446.0071,W,0.0,076.2,130495,003.8,E*69
015.5 120 72.2 55 03 39 54 181805,A,3855.4487,N,09446.0071,W,0.0,076.2,130495,003.8,E*69
